10-09 10:26:23.227|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co8njl.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\914fb29c-d09c-4590-b9a9-53c7d353f17b.jpg.
10-09 10:26:23.403|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\914fb29c-d09c-4590-b9a9-53c7d353f17b.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\64780278-e6ec-48fe-8774-e5109dc9c185\3b133231-15e2-4efb-871b-7c19112b86bd.jpg
10-09 10:26:23.403|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSb2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI1OTUvY29udGVudC9TaGluIE1lZ2FtaSBUZW5zZWkgLSBEZXZpbCBDaGlsZHJlbiAtIEtvb3JpIG5vIFNobyAoSmFwYW4pLnppcBo+U2hpbiBNZWdhbWkgVGVuc2VpIC0gRGV2aWwgQ2hpbGRyZW4gLSBLb29yaSBubyBTaG8gKEphcGFuKS56aXA= from RomM plugin
10-09 10:26:23.403|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co8njl.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\3e0c5c07-b4fa-4ae1-8a3f-ca6b34a51947.jpg.
10-09 10:26:23.439|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\3e0c5c07-b4fa-4ae1-8a3f-ca6b34a51947.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\2a9e39df-322a-46b9-a292-92bebdbb82b4\37a9c328-cd12-48e0-9886-977755c086b1.jpg
10-09 10:26:23.439|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSb2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI1NjAvY29udGVudC9TaGluIE5paG9uIFBybyBXcmVzdGxpbmcgLSBUb3Vrb24gUmV0c3VkZW4gQWR2YW5jZSAoSmFwYW4pLnppcBo+U2hpbiBOaWhvbiBQcm8gV3Jlc3RsaW5nIC0gVG91a29uIFJldHN1ZGVuIEFkdmFuY2UgKEphcGFuKS56aXA= from RomM plugin
10-09 10:26:23.439|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/c026kvxcnilalq4nxg5s.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\b90b406e-3b3b-4309-9b80-83956510c7d9.jpg.
10-09 10:26:23.618|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\b90b406e-3b3b-4309-9b80-83956510c7d9.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\7d82e21c-e861-45cc-bb63-6e6610d81cb5\30f8c410-aec0-4112-86f5-bcd153a283ee.jpg
10-09 10:26:23.618|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSXmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMxMzgvY29udGVudC9TaGluZ2F0YSBNZWRhcm90IC0gS2FidXRvIFZlcnNpb24gKEphcGFuKS56aXAaLVNoaW5nYXRhIE1lZGFyb3QgLSBLYWJ1dG8gVmVyc2lvbiAoSmFwYW4pLnppcA== from RomM plugin
10-09 10:26:23.618|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co5wt8.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\d5b1e39e-28cd-4da4-9abd-a03f31d37a4d.jpg.
